camera_id,timestamp,car_count,truck_count,bus_count,motorcycle_count,road_area_pixels,vectors_chao_score,congestion_score
587ee2aeb807da0011e33d52,2025-11-27 08:13:32,1,0,0,10,44018,"0,5060980657","0,2495849"
587ee2aeb807da0011e33d52,2025-11-27 08:13:51,0,0,0,16,40983,"0,4504849274","0,3089246503"
587ee2aeb807da0011e33d52,2025-11-27 08:14:09,2,0,0,20,43233,"0,3486957785","0,2649330726"
587ee2aeb807da0011e33d52,2025-11-27 08:14:28,0,0,0,21,44102,"0,3905593012","0,2479425478"
587ee2aeb807da0011e33d52,2025-11-27 08:14:47,0,0,0,5,44915,"0,5410379209","0,2320469243"
587ee2aeb807da0011e33d52,2025-11-27 08:15:06,6,0,0,17,36871,"0,4289207291","0,3893217025"
587ee2aeb807da0011e33d52,2025-11-27 08:15:25,4,0,0,8,44234,"0,5315093495","0,2453617085"
587ee2aeb807da0011e33d52,2025-11-27 08:15:44,1,0,0,13,43454,"0,3244025198","0,2606121221"
587ee2aeb807da0011e33d52,2025-11-27 08:16:02,0,0,0,5,45431,"0,1658654865","0,2219581892"
587ee2aeb807da0011e33d52,2025-11-27 08:16:20,5,0,0,14,43664,"0,4795846841","0,2565062415"
587ee2aeb807da0011e33d52,2025-11-27 08:16:40,5,1,0,11,33592,"0,497054921","0,4534320951"
587ee2aeb807da0011e33d52,2025-11-27 08:17:00,1,0,0,14,43607,"0,5273188311","0,2576206948"
587ee2aeb807da0011e33d52,2025-11-27 08:17:18,1,0,0,6,43922,"0,3734836487","0,251461874"
587ee2aeb807da0011e33d52,2025-11-27 08:17:37,3,0,0,19,37150,"0,4121815435","0,3838667469"
587ee2aeb807da0011e33d52,2025-11-27 08:17:55,8,0,0,10,34433,"0,5337629435","0,4369890209"
587ee2aeb807da0011e33d52,2025-11-27 08:18:13,4,0,0,11,42428,"0,2925591653","0,2806722815"
587ee2aeb807da0011e33d52,2025-11-27 08:18:31,2,0,0,5,46153,"0,2551614231","0,2078417807"
587ee2aeb807da0011e33d52,2025-11-27 08:18:49,4,0,0,13,34251,"0,433350339","0,4405474507"
587ee2aeb807da0011e33d52,2025-11-27 08:19:08,5,0,0,16,24817,"0,5388954305","0,624999248"
587ee2aeb807da0011e33d52,2025-11-27 08:19:26,1,0,0,13,42982,"0,4890293736","0,2698405775"
587ee2aeb807da0011e33d52,2025-11-27 08:19:49,0,0,0,9,43706,"0,552141786","0,2556850654"
587ee2aeb807da0011e33d52,2025-11-27 08:20:10,7,0,0,16,31087,"0,4461167383","0,5024093849"
587ee2aeb807da0011e33d52,2025-11-27 08:20:30,6,0,0,12,42039,"0,4633845243","0,2882779365"
